First Uniprot ID,First gene symbol,Trimmed first Uniprot ID,Trimmed first gene symbol,Protein,0_0 vs 12_0 log2FC,0_0 vs 12_0 adj.pvalue,0_0 vs 0_100 log2FC,0_0 vs 0_100 adj.pvalue,0_0 vs 12_100 log2FC,0_0 vs 12_100 adj.pvalue,Invasive vs Proliferative 0_0 log2FC,Invasive vs Proliferative 0_0 adj.pvalue,Invasive vs Proliferative 12_0 log2FC,Invasive vs Proliferative 12_0 adj.pvalue,Invasive vs Proliferative 0_100 log2FC,Invasive vs Proliferative 0_100 adj.pvalue,Invasive vs Proliferative 12_100 log2FC,Invasive vs Proliferative 12_100 adj.pvalue
Q8WX94-3,NA,Q8WX94,NLRP7,Q8WX94-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA2,PATE1,Q8WXA2,PATE1,Q8WXA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA2-2,NA,Q8WXA2,PATE1,Q8WXA2-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA3,RUFY2,Q8WXA3,RUFY2,Q8WXA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA3-1,NA,Q8WXA3,RUFY2,Q8WXA3-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA3-3,NA,Q8WXA3,RUFY2,Q8WXA3-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA3-4,NA,Q8WXA3,RUFY2,Q8WXA3-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA3-5,NA,Q8WXA3,RUFY2,Q8WXA3-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA8,HTR3C,Q8WXA8,HTR3C,Q8WXA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA9,SREK1,Q8WXA9,SREK1,Q8WXA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXA9-2,NA,Q8WXA9,SREK1,Q8WXA9-2,0.101295672,0.88970046,-0.075987165,0.938060763,-0.030632223,0.949945789,-0.283468768,0.741356543,-0.394393375,0.570107351,-0.707887266,0.277375821,-0.968803933,0.152014162
Q8WXB1,METTL21A,Q8WXB1,METTL21A,Q8WXB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXB1-2,NA,Q8WXB1,METTL21A,Q8WXB1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXB4,ZNF606,Q8WXB4,ZNF606,Q8WXB4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXC3,PYDC1,Q8WXC3,PYDC1,Q8WXC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXC6,COPS9,Q8WXC6,COPS9,Q8WXC6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXC6-1,NA,Q8WXC6,COPS9,Q8WXC6-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXD0,RXFP2,Q8WXD0,RXFP2,Q8WXD0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXD0-2,NA,Q8WXD0,RXFP2,Q8WXD0-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXD2,SCG3,Q8WXD2,SCG3,Q8WXD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXD2-2,NA,Q8WXD2,SCG3,Q8WXD2-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXD5,GEMIN6,Q8WXD5,GEMIN6,Q8WXD5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXD9,CASKIN1,Q8WXD9,CASKIN1,Q8WXD9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE0,CASKIN2,Q8WXE0,CASKIN2,Q8WXE0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE0-2,NA,Q8WXE0,CASKIN2,Q8WXE0-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE1,ATRIP,Q8WXE1,ATRIP,Q8WXE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE1-2,NA,Q8WXE1,ATRIP,Q8WXE1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE1-3,NA,Q8WXE1,ATRIP,Q8WXE1-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE1-5,NA,Q8WXE1,ATRIP,Q8WXE1-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE9,STON2,Q8WXE9,STON2,Q8WXE9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXE9-3,NA,Q8WXE9,STON2,Q8WXE9-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WXF0,SRSF12,Q8WXF0,SRSF12,Q8WXF0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
