pathway,pval,padj,log2err,ES,NES,size,leadingEdge
AP4_Q6_01,0.519793459552496,0.849244293612603,0.0694481442003175,0.413456137346075,0.950848582738157,17,ENSG00000104833|ENSG00000167323|ENSG00000108784|ENSG00000137285|ENSG00000198830|ENSG00000106399|ENSG00000159713
APPIERTO_RESPONSE_TO_FENRETINIDE_DN,0.374117647058824,0.783053302763805,0.105125131597001,-0.445684509251876,-1.04617581599928,15,ENSG00000241837|ENSG00000130726|ENSG00000110955|ENSG00000148484
APRELIKOVA_BRCA1_TARGETS,0.0283374044543559,0.339145955967974,0.352487857583619,-0.674992700253556,-1.58444151484349,15,ENSG00000166165|ENSG00000079785|ENSG00000031698|ENSG00000134001
AREB6_01,0.155440414507772,0.650273492988295,0.14551614609036,0.563739807051734,1.30952908945573,18,ENSG00000145050|ENSG00000173599|ENSG00000149357
AREB6_02,0.12565445026178,0.610993543059072,0.16440575583821,0.545159468834568,1.31523022077349,23,ENSG00000167553|ENSG00000164062|ENSG00000138246|ENSG00000188643|ENSG00000184867|ENSG00000165434|ENSG00000108828|ENSG00000112972|ENSG00000117862
AREB6_03,0.206540447504303,0.68446668280357,0.12384217120105,0.542897645527822,1.24853257744709,17,ENSG00000198087|ENSG00000089248|ENSG00000110047|ENSG00000182287|ENSG00000197872|ENSG00000108828|ENSG00000166598
AREB6_04,0.151658767772512,0.642333285353321,0.175204047558551,-0.510305396362606,-1.27837572564716,21,ENSG00000146676|ENSG00000189403|ENSG00000188976|ENSG00000106993
ARHGAP35_TARGET_GENES,0.12621359223301,0.610993543059072,0.195789002148949,-0.564032802286572,-1.32988090598948,16,ENSG00000122565|ENSG00000122566|ENSG00000100664|ENSG00000198218|ENSG00000126934
ARID3B_TARGET_GENES,0.318890814558059,0.755763181662462,0.096240602328129,0.500659830571269,1.11556441382067,15,ENSG00000140575|ENSG00000196396|ENSG00000154124|ENSG00000110047|ENSG00000146143|ENSG00000117758|ENSG00000100554
ARID5B_TARGET_GENES,0.657894736842105,0.90050462262979,0.0847985102819124,-0.262985012733126,-0.935396642505984,132,ENSG00000214753|ENSG00000117505|ENSG00000047410|ENSG00000088247|ENSG00000100941|ENSG00000004700|ENSG00000077348|ENSG00000134001|ENSG00000106299|ENSG00000085872|ENSG00000158545|ENSG00000138413|ENSG00000170515|ENSG00000079246|ENSG00000026025|ENSG00000138107|ENSG00000144713|ENSG00000099624|ENSG00000146834|ENSG00000140718|ENSG00000125166|ENSG00000101189|ENSG00000174243|ENSG00000105887|ENSG00000278615|ENSG00000126934|ENSG00000136261|ENSG00000177565|ENSG00000147140|ENSG00000075856|ENSG00000159352
ARNT2_TARGET_GENES,0.201058201058201,0.67988227268079,0.159646701919906,-0.317403583789579,-1.11361188636801,112,ENSG00000185088|ENSG00000079785|ENSG00000115053|ENSG00000167978|ENSG00000066654|ENSG00000102317|ENSG00000145833|ENSG00000165934|ENSG00000138594|ENSG00000108946
